Census Tract,Label (Grouping),Total:,Total:!!Not Hispanic or Latino:,Total:!!Not Hispanic or Latino:!!White alone,Total:!!Not Hispanic or Latino:!!Black or African American alone,Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone,Total:!!Not Hispanic or Latino:!!Asian alone,Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Total:!!Not Hispanic or Latino:!!Some other race alone,Total:!!Not Hispanic or Latino:!!Two or more races:,Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,"Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",Total:!!Hispanic or Latino:,Total:!!Hispanic or Latino:!!White alone,Total:!!Hispanic or Latino:!!Black or African American alone,Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone,Total:!!Hispanic or Latino:!!Asian alone,Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Total:!!Hispanic or Latino:!!Some other race alone,Total:!!Hispanic or Latino:!!Two or more races:,Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race,"Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"Census Tract 17.10, Durham County, North Carolina",    Margin of Error,±368,±436,±248,±323,±98,±65,±98,±18,±103,±98,±103,±358,±191,±98,±66,±98,±98,±367,±98,±98,±98
,"Census Tract 17.11, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 17.11, Durham County, North Carolina",    Estimate,"4,414","3,108","1,059","1,776",0,130,72,0,71,0,71,"1,306",26,26,0,0,0,"1,254",0,0,0
"Census Tract 17.11, Durham County, North Carolina",    Margin of Error,±524,±354,±240,±255,±98,±120,±126,±98,±49,±98,±49,±510,±42,±40,±98,±98,±98,±508,±98,±98,±98
,"Census Tract 18.01, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 18.01, Durham County, North Carolina",    Estimate,"6,357","5,555","1,784","3,531",65,24,0,48,103,45,58,802,487,0,0,0,0,315,0,0,0
"Census Tract 18.01, Durham County, North Carolina",    Margin of Error,±709,±571,±266,±528,±87,±34,±98,±78,±91,±73,±55,±595,±596,±98,±98,±98,±98,±200,±98,±98,±98
,"Census Tract 18.02, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 18.02, Durham County, North Carolina",    Estimate,"7,124","5,621",985,"4,534",0,11,0,0,91,0,91,"1,503",452,0,0,0,0,"1,041",10,10,0
"Census Tract 18.02, Durham County, North Carolina",    Margin of Error,±656,±479,±238,±576,±98,±26,±98,±98,±100,±98,±100,±570,±394,±98,±98,±98,±98,±464,±17,±17,±98
