Census Tract,Label (Grouping),Total:,Total:!!Owner occupied:,Total:!!Owner occupied:!!Moved in 2005 or later,Total:!!Owner occupied:!!Moved in 2000 to 2004,Total:!!Owner occupied:!!Moved in 1990 to 1999,Total:!!Owner occupied:!!Moved in 1980 to 1989,Total:!!Owner occupied:!!Moved in 1970 to 1979,Total:!!Owner occupied:!!Moved in 1969 or earlier,Total:!!Renter occupied:,Total:!!Renter occupied:!!Moved in 2005 or later,Total:!!Renter occupied:!!Moved in 2000 to 2004,Total:!!Renter occupied:!!Moved in 1990 to 1999,Total:!!Renter occupied:!!Moved in 1980 to 1989,Total:!!Renter occupied:!!Moved in 1970 to 1979,Total:!!Renter occupied:!!Moved in 1969 or earlier
"Census Tract 20.16, Durham County, North Carolina",    Margin of Error,±142,±87,±56,±47,±84,±42,±19,±98,±159,±206,±143,±48,±28,±98,±98
,"Census Tract 20.17, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 20.17, Durham County, North Carolina",    Estimate,"2,815","1,930",595,410,578,169,101,77,885,598,239,36,12,0,0
"Census Tract 20.17, Durham County, North Carolina",    Margin of Error,±155,±134,±143,±141,±131,±87,±65,±61,±159,±131,±90,±33,±20,±98,±98
,"Census Tract 20.18, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 20.18, Durham County, North Carolina",    Estimate,"3,749","2,278",795,672,472,235,40,64,"1,471","1,340",78,53,0,0,0
"Census Tract 20.18, Durham County, North Carolina",    Margin of Error,±178,±169,±146,±126,±147,±93,±35,±36,±168,±165,±66,±45,±98,±98,±98
,"Census Tract 20.19, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 20.19, Durham County, North Carolina",    Estimate,"2,284","1,143",500,182,321,127,13,0,"1,141",997,144,0,0,0,0
"Census Tract 20.19, Durham County, North Carolina",    Margin of Error,±156,±157,±156,±80,±120,±61,±24,±98,±184,±192,±104,±98,±98,±98,±98
,"Census Tract 20.20, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 20.20, Durham County, North Carolina",    Estimate,"2,035","1,985",832,724,372,48,9,0,50,50,0,0,0,0,0
"Census Tract 20.20, Durham County, North Carolina",    Margin of Error,±97,±99,±156,±156,±134,±52,±15,±98,±53,±53,±98,±98,±98,±98,±98
,"Census Tract 20.21, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 20.21, Durham County, North Carolina",    Estimate,"2,130",876,398,272,144,60,0,2,"1,254","1,180",56,18,0,0,0
"Census Tract 20.21, Durham County, North Carolina",    Margin of Error,±127,±171,±139,±96,±76,±58,±98,±10,±197,±191,±65,±29,±98,±98,±98
,"Census Tract 20.22, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 20.22, Durham County, North Carolina",    Estimate,"2,341",955,347,262,213,21,59,53,"1,386","1,213",158,15,0,0,0
"Census Tract 20.22, Durham County, North Carolina",    Margin of Error,±139,±161,±140,±120,±92,±26,±66,±57,±201,±222,±101,±30,±98,±98,±98
,"Census Tract 20.23, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 20.23, Durham County, North Carolina",    Estimate,"1,270",625,105,237,118,165,0,0,645,595,34,16,0,0,0
"Census Tract 20.23, Durham County, North Carolina",    Margin of Error,±107,±67,±63,±79,±72,±71,±98,±98,±116,±119,±30,±26,±98,±98,±98
,"Census Tract 20.24, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 20.24, Durham County, North Carolina",    Estimate,"2,794","2,191","1,019",494,533,145,0,0,603,490,85,28,0,0,0
"Census Tract 20.24, Durham County, North Carolina",    Margin of Error,±152,±184,±194,±125,±111,±50,±98,±98,±150,±155,±51,±31,±98,±98,±98
,"Census Tract 20.25, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 20.25, Durham County, North Carolina",    Estimate,"2,388","1,877",789,395,390,186,66,51,511,363,64,68,0,16,0
"Census Tract 20.25, Durham County, North Carolina",    Margin of Error,±97,±175,±175,±118,±112,±76,±67,±35,±160,±123,±65,±67,±98,±26,±98
,"Census Tract 20.26, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 20.26, Durham County, North Carolina",    Estimate,"2,430","1,138",431,222,102,103,93,187,"1,292","1,050",187,55,0,0,0
"Census Tract 20.26, Durham County, North Carolina",    Margin of Error,±191,±167,±122,±118,±87,±65,±65,±102,±201,±204,±128,±54,±98,±98,±98
,"Census Tract 20.27, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 20.27, Durham County, North Carolina",    Estimate,"3,473","1,161",690,297,96,35,21,22,"2,312","2,060",229,12,0,0,11
"Census Tract 20.27, Durham County, North Carolina",    Margin of Error,±199,±140,±179,±118,±54,±34,±22,±21,±214,±235,±101,±18,±98,±98,±18
,"Census Tract 20.28, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 20.28, Durham County, North Carolina",    Estimate,"2,775",790,492,257,0,0,0,41,"1,985","1,903",82,0,0,0,0
"Census Tract 20.28, Durham County, North Carolina",    Margin of Error,±237,±138,±138,±126,±98,±98,±98,±39,±244,±244,±79,±98,±98,±98,±98
,"Census Tract 21, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 21, Durham County, North Carolina",    Estimate,"2,337","2,067",360,479,664,254,216,94,270,163,20,50,25,0,12
"Census Tract 21, Durham County, North Carolina",    Margin of Error,±156,±156,±124,±126,±127,±97,±89,±74,±118,±99,±24,±37,±29,±98,±20
,"Census Tract 22, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 22, Durham County, North Carolina",    Estimate,746,168,88,16,38,26,0,0,578,421,102,19,36,0,0
"Census Tract 22, Durham County, North Carolina",    Margin of Error,±97,±43,±38,±18,±28,±24,±98,±98,±109,±96,±67,±19,±32,±98,±98
,"Census Tract 23, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 23, Durham County, North Carolina",    Estimate,311,34,0,0,11,0,0,23,277,208,36,33,0,0,0
"Census Tract 23, Durham County, North Carolina",    Margin of Error,±89,±37,±98,±98,±20,±98,±98,±29,±80,±75,±33,±28,±98,±98,±98
,"Census Tract 9801, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 9801, Durham County, North Carolina",    Estimate,25,25,0,0,0,25,0,0,0,0,0,0,0,0,0
"Census Tract 9801, Durham County, North Carolina",    Margin of Error,±32,±32,±98,±98,±98,±32,±98,±98,±98,±98,±98,±98,±98,±98,±98
