CensusTract,ValueType,Total:,Total:!!Not Hispanic or Latino:,Total:!!Not Hispanic or Latino:!!White alone,Total:!!Not Hispanic or Latino:!!Black or African American alone,Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone,Total:!!Not Hispanic or Latino:!!Asian alone,Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Total:!!Not Hispanic or Latino:!!Some other race alone,Total:!!Not Hispanic or Latino:!!Two or more races:,Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race and three or more races,Total:!!Hispanic or Latino:,Total:!!Hispanic or Latino:!!White alone,Total:!!Hispanic or Latino:!!Black or African American alone,Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone,Total:!!Hispanic or Latino:!!Asian alone,Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Total:!!Hispanic or Latino:!!Some other race alone,Total:!!Hispanic or Latino:!!Two or more races:,Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race,Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race and three or more races
Census Tract 6,Margin of Error,±607,±581,±464,±396,±43,±177,±19,±19,±217,±46,±221,±384,±446,±19,±19,±19,±19,±124,±30,±30,±19
Census Tract 7,Estimate,3942,3728,2525,769,22,152,0,18,242,96,146,214,61,13,0,0,0,76,64,62,2
Census Tract 7,Margin of Error,±574,±541,±520,±229,±35,±102,±13,±30,±117,±117,±115,±128,±40,±20,±13,±13,±13,±72,±91,±91,±4
Census Tract 9,Estimate,1751,1310,348,813,0,21,62,19,47,24,23,441,258,0,0,0,0,134,49,35,14
Census Tract 9,Margin of Error,±304,±258,±123,±231,±13,±29,±77,±28,±39,±29,±23,±218,±197,±13,±13,±13,±13,±115,±58,±54,±24
Census Tract 10.01,Estimate,3672,2706,495,2070,23,16,0,0,102,0,102,966,490,0,0,0,0,397,79,74,5
Census Tract 10.01,Margin of Error,±468,±547,±187,±531,±37,±55,±13,±13,±100,±13,±100,±373,±287,±13,±13,±13,±13,±247,±74,±73,±11
Census Tract 10.02,Estimate,5538,2697,534,1509,0,318,0,69,267,0,267,2841,1254,0,42,0,0,692,853,853,0
Census Tract 10.02,Margin of Error,±770,±608,±231,±316,±19,±296,±19,±74,±262,±19,±262,±833,±634,±19,±66,±19,±19,±566,±747,±747,±19
Census Tract 11,Estimate,3102,2467,639,1768,0,48,0,0,12,10,2,635,409,0,0,0,0,158,68,66,2
Census Tract 11,Margin of Error,±663,±615,±204,±562,±13,±77,±13,±13,±23,±23,±4,±305,±270,±13,±13,±13,±13,±135,±69,±69,±4
Census Tract 13.01,Estimate,1957,1553,218,1329,0,0,0,0,6,0,6,404,254,0,0,0,0,150,0,0,0
Census Tract 13.01,Margin of Error,±430,±309,±180,±258,±13,±13,±13,±13,±9,±13,±9,±336,±284,±13,±13,±13,±13,±185,±13,±13,±13
Census Tract 13.03,Estimate,4537,4191,959,3016,4,74,0,0,138,35,103,346,194,24,0,0,0,76,52,43,9
Census Tract 13.03,Margin of Error,±778,±748,±297,±678,±8,±51,±13,±13,±107,±53,±82,±238,±220,±30,±13,±13,±13,±75,±46,±41,±22
Census Tract 13.04,Estimate,2577,2023,123,1657,0,0,0,81,162,0,162,554,401,0,0,0,0,136,17,17,0
Census Tract 13.04,Margin of Error,±346,±354,±82,±312,±13,±13,±13,±123,±187,±13,±187,±318,±308,±13,±13,±13,±13,±154,±29,±29,±13
Census Tract 14,Estimate,2573,2012,266,1746,0,0,0,0,0,0,0,561,296,0,0,0,0,206,59,44,15
Census Tract 14,Margin of Error,±647,±623,±278,±595,±13,±13,±13,±13,±13,±13,±13,±321,±260,±13,±13,±13,±13,±200,±80,±73,±33
Census Tract 15.01,Estimate,3559,3298,2019,799,14,397,0,0,69,10,59,261,159,18,0,11,0,49,24,24,0
Census Tract 15.01,Margin of Error,±535,±493,±374,±177,±24,±161,±13,±13,±55,±24,±48,±116,±103,±30,±13,±15,±13,±47,±32,±32,±13
Census Tract 15.03,Estimate,1909,1787,1087,334,10,316,0,8,32,0,32,122,45,0,0,0,0,62,15,15,0
Census Tract 15.03,Margin of Error,±343,±305,±251,±116,±16,±138,±13,±19,±37,±13,±37,±82,±43,±13,±13,±13,±13,±67,±27,±27,±13
Census Tract 15.04,Estimate,2193,1805,472,666,18,525,0,0,124,0,124,388,358,0,0,0,0,10,20,0,20
Census Tract 15.04,Margin of Error,±387,±280,±152,±228,±31,±191,±13,±13,±114,±13,±114,±301,±305,±13,±13,±13,±13,±18,±33,±13,±33
Census Tract 15.05,Estimate,3922,3364,872,1606,0,837,0,0,49,0,49,558,472,15,0,0,0,11,60,60,0
