Census Tract,Label (Grouping),Total:,Total:!!Owner occupied:,Total:!!Owner occupied:!!Moved in 2019 or later,Total:!!Owner occupied:!!Moved in 2015 to 2018,Total:!!Owner occupied:!!Moved in 2010 to 2014,Total:!!Owner occupied:!!Moved in 2000 to 2009,Total:!!Owner occupied:!!Moved in 1990 to 1999,Total:!!Owner occupied:!!Moved in 1989 or earlier,Total:!!Renter occupied:,Total:!!Renter occupied:!!Moved in 2019 or later,Total:!!Renter occupied:!!Moved in 2015 to 2018,Total:!!Renter occupied:!!Moved in 2010 to 2014,Total:!!Renter occupied:!!Moved in 2000 to 2009,Total:!!Renter occupied:!!Moved in 1990 to 1999,Total:!!Renter occupied:!!Moved in 1989 or earlier
Census Tract 7; Durham County; North Carolina,        Margin of Error,±182,±149,±58,±62,±110,±64,±93,±51,±161,±136,±129,±97,±81,±16,±13
,Census Tract 9; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 9; Durham County; North Carolina,        Estimate,751,323,64,157,31,34,16,21,428,112,182,56,60,1,17
Census Tract 9; Durham County; North Carolina,        Margin of Error,±164,±140,±41,±131,±24,±32,±15,±23,±99,±73,±72,±50,±38,±11,±25
,Census Tract 10.01; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 10.01; Durham County; North Carolina,        Estimate,"1,514",535,14,234,34,107,60,86,979,226,432,231,24,31,35
Census Tract 10.01; Durham County; North Carolina,        Margin of Error,±193,±150,±17,±150,±31,±90,±51,±54,±181,±137,±143,±109,±28,±39,±35
,Census Tract 10.02; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 10.02; Durham County; North Carolina,        Estimate,"1,974",601,15,199,79,184,74,50,"1,373",96,524,532,160,35,26
Census Tract 10.02; Durham County; North Carolina,        Margin of Error,±215,±196,±27,±111,±70,±138,±61,±47,±250,±81,±209,±188,±121,±44,±31
,Census Tract 11; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 11; Durham County; North Carolina,        Estimate,"1,251",249,65,43,25,72,25,19,"1,002",153,419,282,137,0,11
Census Tract 11; Durham County; North Carolina,        Margin of Error,±132,±90,±52,±30,±28,±56,±34,±23,±152,±75,±122,±108,±82,±13,±18
,Census Tract 13.01; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 13.01; Durham County; North Carolina,        Estimate,802,127,36,0,15,19,12,45,675,86,360,153,60,0,16
Census Tract 13.01; Durham County; North Carolina,        Margin of Error,±180,±76,±53,±13,±23,±25,±16,±36,±171,±60,±95,±152,±59,±13,±22
,Census Tract 13.03; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 13.03; Durham County; North Carolina,        Estimate,778,376,10,43,27,79,123,94,402,94,167,70,38,25,8
Census Tract 13.03; Durham County; North Carolina,        Margin of Error,±126,±125,±17,±42,±24,±47,±102,±50,±102,±54,±69,±45,±34,±28,±13
,Census Tract 13.04; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 13.04; Durham County; North Carolina,        Estimate,"1,132",360,19,72,11,96,31,131,772,83,319,180,148,9,33
Census Tract 13.04; Durham County; North Carolina,        Margin of Error,±125,±107,±30,±51,±17,±64,±29,±81,±150,±66,±121,±74,±82,±14,±39
,Census Tract 14; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 14; Durham County; North Carolina,        Estimate,"1,221",420,11,43,31,103,92,140,801,288,269,146,59,0,39
Census Tract 14; Durham County; North Carolina,        Margin of Error,±354,±232,±18,±41,±43,±148,±106,±148,±316,±284,±121,±98,±78,±13,±48
,Census Tract 15.01; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 15.01; Durham County; North Carolina,        Estimate,15,0,0,0,0,0,0,0,15,0,15,0,0,0,0
Census Tract 15.01; Durham County; North Carolina,        Margin of Error,±16,±13,±13,±13,±13,±13,±13,±13,±16,±13,±16,±13,±13,±13,±13
,Census Tract 15.03; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 15.03; Durham County; North Carolina,        Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Census Tract 15.03; Durham County; North Carolina,        Margin of Error,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13
,Census Tract 15.04; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 15.04; Durham County; North Carolina,        Estimate,"1,212",20,0,20,0,0,0,0,"1,192",453,509,137,93,0,0
Census Tract 15.04; Durham County; North Carolina,        Margin of Error,±191,±35,±13,±35,±13,±13,±13,±13,±194,±199,±160,±105,±60,±13,±13
,Census Tract 15.05; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 15.05; Durham County; North Carolina,        Estimate,"2,061",56,14,0,4,0,0,38,"2,005",835,950,111,109,0,0
Census Tract 15.05; Durham County; North Carolina,        Margin of Error,±343,±49,±19,±13,±10,±13,±13,±45,±350,±336,±214,±88,±45,±13,±13
,Census Tract 16.01; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 16.01; Durham County; North Carolina,        Estimate,"2,080","1,845",77,240,288,459,417,364,235,47,38,0,31,109,10
Census Tract 16.01; Durham County; North Carolina,        Margin of Error,±136,±152,±56,±116,±104,±112,±119,±121,±110,±48,±46,±19,±35,±81,±17
,Census Tract 16.03; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 16.03; Durham County; North Carolina,        Estimate,"3,003","2,604",41,417,437,"1,012",301,396,399,38,319,42,0,0,0
Census Tract 16.03; Durham County; North Carolina,        Margin of Error,±470,±390,±38,±116,±242,±342,±110,±108,±315,±48,±299,±68,±19,±19,±19
,Census Tract 16.04; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 16.04; Durham County; North Carolina,        Estimate,"2,862","2,731",84,402,607,879,300,459,131,11,40,23,46,0,11
Census Tract 16.04; Durham County; North Carolina,        Margin of Error,±331,±336,±68,±155,±286,±233,±112,±154,±94,±20,±40,±29,±73,±19,±19
,Census Tract 17.05; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 17.05; Durham County; North Carolina,        Estimate,"2,382","1,374",11,327,129,316,230,361,"1,008",178,508,231,70,0,21
Census Tract 17.05; Durham County; North Carolina,        Margin of Error,±243,±249,±18,±145,±87,±115,±117,±186,±185,±107,±153,±133,±69,±19,±36
,Census Tract 17.06; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 17.06; Durham County; North Carolina,        Estimate,"2,551","1,254",221,277,243,221,192,100,"1,297",404,639,67,157,0,30
Census Tract 17.06; Durham County; North Carolina,        Margin of Error,±286,±242,±157,±138,±80,±120,±114,±68,±248,±248,±199,±55,±108,±19,±45
,Census Tract 17.08; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 17.08; Durham County; North Carolina,        Estimate,"1,924","1,014",23,144,127,391,63,266,910,89,577,144,100,0,0
Census Tract 17.08; Durham County; North Carolina,        Margin of Error,±290,±180,±30,±93,±66,±136,±44,±98,±314,±97,±311,±101,±63,±19,±19
,Census Tract 17.09; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 17.09; Durham County; North Carolina,        Estimate,"2,831",751,46,146,122,282,20,135,"2,080",308,"1,007",530,81,113,41
Census Tract 17.09; Durham County; North Carolina,        Margin of Error,±291,±231,±59,±125,±122,±197,±34,±103,±306,±162,±285,±187,±63,±106,±66
,Census Tract 17.10; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 17.10; Durham County; North Carolina,        Estimate,"1,888","1,086",30,350,198,316,126,66,802,331,283,108,48,0,32
Census Tract 17.10; Durham County; North Carolina,        Margin of Error,±225,±195,±27,±85,±120,±142,±80,±36,±241,±185,±144,±92,±45,±13,±48
,Census Tract 17.11; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 17.11; Durham County; North Carolina,        Estimate,"2,337",427,30,65,115,104,42,71,"1,910",454,871,312,157,79,37
Census Tract 17.11; Durham County; North Carolina,        Margin of Error,±362,±100,±38,±48,±57,±60,±46,±47,±373,±292,±288,±155,±92,±108,±51
,Census Tract 17.12; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 17.12; Durham County; North Carolina,        Estimate,"2,136","1,107",34,190,306,236,179,162,"1,029",224,239,106,398,62,0
Census Tract 17.12; Durham County; North Carolina,        Margin of Error,±515,±242,±41,±74,±256,±118,±89,±57,±453,±134,±136,±60,±436,±62,±13
,Census Tract 17.13; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 17.13; Durham County; North Carolina,        Estimate,"1,331","1,241",55,197,258,335,234,162,90,18,18,22,0,15,17
Census Tract 17.13; Durham County; North Carolina,        Margin of Error,±218,±222,±73,±99,±105,±149,±87,±124,±59,±28,±27,±34,±13,±28,±27
,Census Tract 18.01; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 18.01; Durham County; North Carolina,        Estimate,"3,168","2,424",51,497,218,687,347,624,744,214,339,148,43,0,0
Census Tract 18.01; Durham County; North Carolina,        Margin of Error,±374,±412,±61,±220,±116,±213,±142,±297,±327,±183,±206,±122,±54,±19,±19
,Census Tract 18.02; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 18.02; Durham County; North Carolina,        Estimate,"2,385","1,043",70,303,63,367,100,140,"1,342",205,566,368,144,0,59
Census Tract 18.02; Durham County; North Carolina,        Margin of Error,±253,±214,±77,±148,±59,±149,±71,±88,±289,±174,±223,±199,±100,±19,±66
,Census Tract 18.06; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 18.06; Durham County; North Carolina,        Estimate,"2,678","2,320",132,792,159,641,349,247,358,52,149,157,0,0,0
Census Tract 18.06; Durham County; North Carolina,        Margin of Error,±380,±352,±112,±263,±97,±196,±249,±89,±270,±71,±123,±212,±19,±19,±19
,Census Tract 18.08; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 18.08; Durham County; North Carolina,        Estimate,"4,359","3,908",620,"1,721",748,522,134,163,451,29,250,161,11,0,0
Census Tract 18.08; Durham County; North Carolina,        Margin of Error,±466,±505,±432,±277,±213,±140,±75,±107,±172,±34,±121,±101,±18,±21,±21
,Census Tract 18.09; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 18.09; Durham County; North Carolina,        Estimate,"3,299","1,361",323,211,115,330,110,272,"1,938",736,924,241,37,0,0
Census Tract 18.09; Durham County; North Carolina,        Margin of Error,±414,±340,±180,±93,±81,±150,±83,±277,±313,±262,±249,±171,±46,±19,±19
,Census Tract 18.10; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 18.10; Durham County; North Carolina,        Estimate,"1,366",939,30,309,241,210,80,69,427,0,331,65,31,0,0
Census Tract 18.10; Durham County; North Carolina,        Margin of Error,±253,±167,±39,±142,±128,±114,±85,±39,±256,±13,±259,±85,±62,±13,±13
,Census Tract 18.11; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 18.11; Durham County; North Carolina,        Estimate,"2,247","1,927",35,322,203,879,287,201,320,65,210,0,45,0,0
Census Tract 18.11; Durham County; North Carolina,        Margin of Error,±197,±225,±44,±142,±126,±266,±167,±100,±148,±56,±118,±19,±52,±19,±19
,Census Tract 19; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 19; Durham County; North Carolina,        Estimate,"2,778","2,476",245,"1,158",409,302,204,158,302,46,177,32,20,0,27
Census Tract 19; Durham County; North Carolina,        Margin of Error,±267,±293,±125,±260,±112,±109,±135,±72,±134,±52,±116,±31,±22,±19,±33
,Census Tract 20.07; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 20.07; Durham County; North Carolina,        Estimate,"2,500","1,929",157,280,186,622,337,347,571,43,264,83,143,38,0
Census Tract 20.07; Durham County; North Carolina,        Margin of Error,±240,±282,±177,±129,±114,±228,±168,±160,±159,±69,±111,±68,±77,±54,±19
,Census Tract 20.08; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 20.08; Durham County; North Carolina,        Estimate,"1,376","1,356",76,356,262,324,148,190,20,0,9,0,11,0,0
Census Tract 20.08; Durham County; North Carolina,        Margin of Error,±261,±262,±64,±206,±94,±164,±59,±61,±22,±13,±14,±13,±16,±13,±13
,Census Tract 20.09; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 20.09; Durham County; North Carolina,        Estimate,"2,071","1,330",16,168,200,282,170,494,741,115,392,97,45,0,92
Census Tract 20.09; Durham County; North Carolina,        Margin of Error,±300,±283,±18,±90,±129,±165,±99,±237,±160,±111,±141,±71,±52,±19,±73
,Census Tract 20.13; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 20.13; Durham County; North Carolina,        Estimate,"2,008","1,815",131,283,234,638,213,316,193,42,108,36,7,0,0
Census Tract 20.13; Durham County; North Carolina,        Margin of Error,±177,±191,±63,±108,±91,±167,±79,±119,±78,±31,±65,±40,±12,±13,±13
,Census Tract 20.15; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 20.15; Durham County; North Carolina,        Estimate,"2,265",471,5,72,161,156,23,54,"1,794",311,"1,031",284,136,19,13
Census Tract 20.15; Durham County; North Carolina,        Margin of Error,±280,±128,±30,±61,±105,±88,±35,±36,±276,±247,±203,±104,±72,±24,±22
,Census Tract 20.19; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 20.19; Durham County; North Carolina,        Estimate,"2,507","1,340",46,433,389,197,217,58,"1,167",495,577,78,0,0,17
Census Tract 20.19; Durham County; North Carolina,        Margin of Error,±265,±175,±42,±140,±121,±115,±114,±47,±250,±220,±139,±83,±13,±13,±27
,Census Tract 20.20; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 20.20; Durham County; North Carolina,        Estimate,"3,307","3,164",329,"1,092",478,"1,030",219,16,143,28,115,0,0,0,0
Census Tract 20.20; Durham County; North Carolina,        Margin of Error,±473,±465,±176,±285,±257,±319,±114,±26,±134,±32,±130,±19,±19,±19,±19
,Census Tract 20.21; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 20.21; Durham County; North Carolina,        Estimate,"2,137",890,102,236,111,240,201,0,"1,247",272,688,246,41,0,0
Census Tract 20.21; Durham County; North Carolina,        Margin of Error,±198,±231,±90,±125,±75,±106,±138,±13,±271,±134,±140,±197,±59,±13,±13
,Census Tract 20.22; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 20.22; Durham County; North Carolina,        Estimate,"2,271",907,62,210,84,279,230,42,"1,364",323,708,218,115,0,0
Census Tract 20.22; Durham County; North Carolina,        Margin of Error,±234,±154,±54,±100,±64,±91,±112,±41,±224,±167,±188,±93,±83,±13,±13
,Census Tract 20.23; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 20.23; Durham County; North Carolina,        Estimate,"1,330",575,21,124,99,200,62,69,755,198,378,168,11,0,0
Census Tract 20.23; Durham County; North Carolina,        Margin of Error,±121,±103,±20,±53,±53,±91,±37,±36,±105,±102,±94,±78,±21,±13,±13
,Census Tract 20.24; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 20.24; Durham County; North Carolina,        Estimate,"2,694","2,287",281,909,369,418,214,96,407,19,229,111,48,0,0
Census Tract 20.24; Durham County; North Carolina,        Margin of Error,±230,±211,±128,±215,±118,±132,±106,±84,±145,±23,±114,±66,±70,±19,±19
,Census Tract 20.25; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 20.25; Durham County; North Carolina,        Estimate,"2,559","1,698",116,297,248,651,252,134,861,246,540,58,17,0,0
Census Tract 20.25; Durham County; North Carolina,        Margin of Error,±245,±210,±68,±116,±118,±153,±142,±72,±242,±152,±219,±91,±28,±19,±19
,Census Tract 20.26; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 20.26; Durham County; North Carolina,        Estimate,"3,060","1,110",181,308,274,182,111,54,"1,950",650,927,281,33,59,0
Census Tract 20.26; Durham County; North Carolina,        Margin of Error,±425,±319,±114,±149,±221,±114,±90,±42,±382,±364,±277,±147,±40,±73,±19
,Census Tract 20.29; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 20.29; Durham County; North Carolina,        Estimate,"2,042",578,0,76,86,218,180,18,"1,464",514,759,174,10,0,7
Census Tract 20.29; Durham County; North Carolina,        Margin of Error,±352,±127,±13,±64,±58,±108,±110,±20,±365,±320,±232,±127,±26,±13,±11
,Census Tract 20.30; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 20.30; Durham County; North Carolina,        Estimate,"1,632","1,468",138,300,230,434,238,128,164,26,64,56,18,0,0
Census Tract 20.30; Durham County; North Carolina,        Margin of Error,±187,±162,±85,±109,±108,±145,±110,±69,±113,±43,±97,±51,±30,±13,±13
,Census Tract 20.31; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 20.31; Durham County; North Carolina,        Estimate,"1,020",278,63,47,21,30,16,101,742,81,424,174,63,0,0
Census Tract 20.31; Durham County; North Carolina,        Margin of Error,±129,±76,±46,±39,±27,±33,±26,±81,±141,±94,±166,±109,±68,±13,±13
,Census Tract 20.32; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 20.32; Durham County; North Carolina,        Estimate,"1,079",5,0,5,0,0,0,0,"1,074",190,612,221,51,0,0
Census Tract 20.32; Durham County; North Carolina,        Margin of Error,±182,±20,±13,±20,±13,±13,±13,±13,±183,±124,±175,±62,±57,±13,±13
,Census Tract 20.33; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 20.33; Durham County; North Carolina,        Estimate,"1,971","1,278",33,177,627,303,92,46,693,146,506,24,17,0,0
Census Tract 20.33; Durham County; North Carolina,        Margin of Error,±216,±245,±37,±96,±172,±138,±92,±63,±182,±119,±175,±41,±29,±13,±13
,Census Tract 20.34; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 20.34; Durham County; North Carolina,        Estimate,"2,812","1,302",0,290,334,257,177,244,"1,510",530,777,123,80,0,0
Census Tract 20.34; Durham County; North Carolina,        Margin of Error,±309,±276,±19,±180,±134,±126,±124,±131,±296,±227,±288,±107,±112,±19,±19
,Census Tract 20.35; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 20.35; Durham County; North Carolina,        Estimate,"3,085","1,773",76,736,488,278,122,73,"1,312",454,445,100,313,0,0
Census Tract 20.35; Durham County; North Carolina,        Margin of Error,±581,±483,±76,±218,±385,±139,±92,±61,±417,±259,±198,±53,±351,±19,±19
,Census Tract 20.36; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 20.36; Durham County; North Carolina,        Estimate,"1,660",145,0,145,0,0,0,0,"1,515",561,713,175,23,23,20
Census Tract 20.36; Durham County; North Carolina,        Margin of Error,±160,±102,±13,±102,±13,±13,±13,±13,±183,±254,±247,±113,±38,±37,±31
,Census Tract 20.37; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 20.37; Durham County; North Carolina,        Estimate,"3,040",880,75,392,338,75,0,0,"2,160",421,"1,441",298,0,0,0
Census Tract 20.37; Durham County; North Carolina,        Margin of Error,±400,±239,±54,±189,±211,±80,±19,±19,±402,±226,±395,±187,±19,±19,±19
,Census Tract 20.38; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 20.38; Durham County; North Carolina,        Estimate,"2,800","1,560",299,539,459,188,54,21,"1,240",318,618,231,73,0,0
Census Tract 20.38; Durham County; North Carolina,        Margin of Error,±331,±382,±243,±202,±290,±133,±74,±35,±259,±219,±206,±162,±94,±19,±19
,Census Tract 21; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 21; Durham County; North Carolina,        Estimate,"2,698","2,508",53,498,394,704,515,344,190,46,92,52,0,0,0
Census Tract 21; Durham County; North Carolina,        Margin of Error,±361,±330,±52,±253,±142,±191,±177,±100,±122,±48,±67,±87,±19,±19,±19
,Census Tract 22; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 22; Durham County; North Carolina,        Estimate,"1,476",370,107,89,66,52,16,40,"1,106",411,557,130,8,0,0
Census Tract 22; Durham County; North Carolina,        Margin of Error,±226,±104,±79,±52,±38,±36,±26,±31,±227,±181,±111,±72,±13,±13,±13
,Census Tract 23; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 23; Durham County; North Carolina,        Estimate,806,175,6,48,20,7,49,45,631,282,301,19,15,14,0
Census Tract 23; Durham County; North Carolina,        Margin of Error,±126,±74,±8,±26,±16,±9,±22,±64,±97,±88,±89,±22,±16,±19,±13
