GEO_ID,geoid10,NAME,Population Groups,Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars),Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)
1400000U,17031090100,Census Tract 901,Total population,115161,15774
1400000U,17031090200,Census Tract 902,Total population,114385,16344
1400000U,17031090300,Census Tract 903,Total population,103421,25590
1400000U,17031100100,Census Tract 1001,Total population,100985,13150
1400000U,17031100200,Census Tract 1002,Total population,101330,8472
1400000U,17031100300,Census Tract 1003,Total population,75763,12993
1400000U,17031100400,Census Tract 1004,Total population,127019,16769
1400000U,17031100500,Census Tract 1005,Total population,92576,13805
1400000U,17031100600,Census Tract 1006,Total population,68417,14451
1400000U,17031100700,Census Tract 1007,Total population,107723,20863
1400000U,17031110100,Census Tract 1101,Total population,88630,23391
1400000U,17031110200,Census Tract 1102,Total population,68043,28206
1400000U,17031110300,Census Tract 1103,Total population,101375,11177
1400000U,17031110400,Census Tract 1104,Total population,73633,6526
1400000U,17031110501,Census Tract 1105.01,Total population,95609,9336
1400000U,17031110502,Census Tract 1105.02,Total population,63891,14310
1400000U,17031120100,Census Tract 1201,Total population,148306,15300
1400000U,17031120200,Census Tract 1202,Total population,129028,20953
1400000U,17031120300,Census Tract 1203,Total population,136316,25051
1400000U,17031120400,Census Tract 1204,Total population,112639,19176
1400000U,17031130100,Census Tract 1301,Total population,50385,11250
1400000U,17031130200,Census Tract 1302,Total population,97361,43536
1400000U,17031130300,Census Tract 1303,Total population,61905,12239
1400000U,17031140100,Census Tract 1401,Total population,65388,29981
1400000U,17031140200,Census Tract 1402,Total population,63241,15545
1400000U,17031140301,Census Tract 1403.01,Total population,63289,11044
1400000U,17031140302,Census Tract 1403.02,Total population,66895,16513
1400000U,17031140400,Census Tract 1404,Total population,87308,20254
1400000U,17031140500,Census Tract 1405,Total population,77120,14501
1400000U,17031140601,Census Tract 1406.01,Total population,77727,19028
1400000U,17031140602,Census Tract 1406.02,Total population,54679,25152
1400000U,17031140701,Census Tract 1407.01,Total population,79211,9254
1400000U,17031140702,Census Tract 1407.02,Total population,61500,16046
1400000U,17031140800,Census Tract 1408,Total population,88836,22804
1400000U,17031150200,Census Tract 1502,Total population,77538,21395
1400000U,17031150300,Census Tract 1503,Total population,77384,10573
1400000U,17031150401,Census Tract 1504.01,Total population,69925,14293
1400000U,17031150402,Census Tract 1504.02,Total population,88320,6620
1400000U,17031150501,Census Tract 1505.01,Total population,114375,10798
1400000U,17031150502,Census Tract 1505.02,Total population,68997,7499
1400000U,17031150600,Census Tract 1506,Total population,85570,15181
1400000U,17031150700,Census Tract 1507,Total population,89554,15082
1400000U,17031150800,Census Tract 1508,Total population,81164,17889
