,Segment,PermitIssueDate,PermitType
178,324,7/1/2020 0:00,Reno_Alt_add
179,324,7/8/2020 0:00,Reno_Alt_add
180,292,8/13/2020 0:00,Reno_Alt_add
181,324,12/10/2020 0:00,Reno_Alt_add
182,324,9/8/2020 0:00,Reno_Alt_add
183,153,12/16/2020 0:00,Reno_Alt_add
184,16,3/8/2021 0:00,Reno_Alt_add
185,306,5/25/2022 0:00,Reno_Alt_add
186,244,2/22/2021 0:00,Reno_Alt_add
187,153,4/8/2021 0:00,Reno_Alt_add
188,292,2/14/2022 0:00,Reno_Alt_add
189,292,1/25/2022 0:00,Reno_Alt_add
190,292,7/28/2021 0:00,Reno_Alt_add
191,306,5/25/2021 0:00,Reno_Alt_add
192,57,7/8/2021 0:00,Reno_Alt_add
193,324,8/4/2021 0:00,Reno_Alt_add
194,55,8/12/2021 0:00,Reno_Alt_add
195,324,10/10/2021 0:00,Reno_Alt_add
196,57,8/18/2021 0:00,Reno_Alt_add
197,268,9/21/2021 0:00,Reno_Alt_add
198,281,10/26/2021 0:00,Reno_Alt_add
199,281,10/11/2021 0:00,Reno_Alt_add
200,260/275,10/19/2021 0:00,Reno_Alt_add
201,324,11/4/2021 0:00,Reno_Alt_add
202,324,12/21/2021 0:00,Reno_Alt_add
203,306,7/25/2022 0:00,Reno_Alt_add
204,260/275,5/10/2022 0:00,Reno_Alt_add
205,55,6/6/2023 0:00,Reno_Alt_add
206,16,10/10/2022 0:00,Reno_Alt_add
207,281,10/22/2022 0:00,Reno_Alt_add
208,244,5/31/2023 0:00,Reno_Alt_add
209,260/275,5/29/2023 0:00,Reno_Alt_add
210,244,5/31/2023 0:00,Reno_Alt_add
211,55,10/16/2017 0:00,Reno_Alt_add
212,268,6/20/2018 0:00,Reno_Alt_add
213,268,7/15/2021 0:00,Reno_Alt_add
214,244,8/24/2023 0:00,Reno_Alt_add
215,244,8/27/2023 0:00,Reno_Alt_add
216,306,8/28/2023 0:00,Reno_Alt_add
217,324,11/15/2021 0:00,Reno_Alt_add
218,49,12/12/2022 0:00,Reno_Alt_add
219,281,8/1/2023 0:00,Reno_Alt_add
220,324,8/2/2023 0:00,Reno_Alt_add
221,324,8/8/2023 0:00,Reno_Alt_add
222,49,11/2/2022 0:00,Reno_Alt_add
223,292,8/8/2023 0:00,Reno_Alt_add
224,55,8/18/2023 0:00,Reno_Alt_add
225,16,8/30/2023 0:00,Reno_Alt_add
226,292,12/7/2012 0:00,Reno_Alt_add
227,55,9/11/2023 0:00,Reno_Alt_add
228,306,9/13/2023 0:00,Reno_Alt_add
229,324,9/13/2023 0:00,Reno_Alt_add
230,292,3/25/2016 0:00,Reno_Alt_add
231,324,9/15/2023 0:00,Reno_Alt_add
232,324,12/21/2023 0:00,Reno_Alt_add
233,306,6/29/2017 0:00,Reno_Alt_add
234,49,9/19/2023 0:00,Reno_Alt_add
235,324,11/13/2017 0:00,NewConst
236,324,5/14/2018 0:00,Reno_Alt_add
237,244,3/18/2011 0:00,Reno_Alt_add
238,157,2/3/2012 0:00,Reno_Alt_add
239,244,12/17/2013 0:00,Reno_Alt_add
240,324,6/16/2014 0:00,Reno_Alt_add
241,260/275,11/10/2015 0:00,Reno_Alt_add
242,260/275,10/5/2016 0:00,Reno_Alt_add
243,49,12/5/2016 0:00,Reno_Alt_add
244,260/275,2/28/2017 0:00,Reno_Alt_add
245,260/275,5/16/2017 0:00,Reno_Alt_add
246,292,9/23/2021 0:00,Reno_Alt_add
247,324,9/21/2021 0:00,Reno_Alt_add
248,306,10/2/2023 0:00,Reno_Alt_add
249,260/275,10/3/2023 0:00,Reno_Alt_add
250,260/275,5/26/2023 0:00,Reno_Alt_add
251,244,10/6/2023 0:00,Demo
252,57,10/10/2023 0:00,Reno_Alt_add
253,324,10/11/2023 0:00,Reno_Alt_add
254,306,10/12/2023 0:00,Reno_Alt_add
255,324,10/12/2023 0:00,Reno_Alt_add
256,306,10/17/2023 0:00,Reno_Alt_add
257,57,11/1/2023 0:00,Reno_Alt_add
258,292,8/11/2017 0:00,Reno_Alt_add
259,292,6/12/2018 0:00,Reno_Alt_add
260,306,2/26/2019 0:00,Reno_Alt_add
261,281,11/6/2023 0:00,Reno_Alt_add
262,128,6/2/2022 0:00,Reno_Alt_add
263,324,10/21/2015 0:00,Reno_Alt_add
264,281,1/15/2019 0:00,Reno_Alt_add
265,128,3/17/2014 0:00,Reno_Alt_add
266,153,12/14/2006 0:00,NewConst
267,153,12/14/2006 0:00,NewConst
268,153,2/15/2007 0:00,Reno_Alt_add
269,153,6/25/2007 0:00,Reno_Alt_add
270,153,6/25/2007 0:00,Reno_Alt_add
271,153,7/13/2007 0:00,Reno_Alt_add
272,153,2/4/2008 0:00,Reno_Alt_add
273,128,9/24/2012 0:00,Reno_Alt_add
